Date,Cities,City name,Views
2023-11-10,0x47d8a00baf21de75:0x52963a5addd52a99,London,40
2023-11-11,0x47d8a00baf21de75:0x52963a5addd52a99,London,20
2023-11-12,0x47d8a00baf21de75:0x52963a5addd52a99,London,11
2023-11-13,0x47d8a00baf21de75:0x52963a5addd52a99,London,0
2023-11-14,0x47d8a00baf21de75:0x52963a5addd52a99,London,15
2023-11-15,0x47d8a00baf21de75:0x52963a5addd52a99,London,15
2023-11-16,0x47d8a00baf21de75:0x52963a5addd52a99,London,32
2023-11-17,0x47d8a00baf21de75:0x52963a5addd52a99,London,22
2023-11-18,0x47d8a00baf21de75:0x52963a5addd52a99,London,45
2023-11-19,0x47d8a00baf21de75:0x52963a5addd52a99,London,27
2023-11-20,0x47d8a00baf21de75:0x52963a5addd52a99,London,201
2023-11-21,0x47d8a00baf21de75:0x52963a5addd52a99,London,260
2023-11-22,0x47d8a00baf21de75:0x52963a5addd52a99,London,49
2023-11-23,0x47d8a00baf21de75:0x52963a5addd52a99,London,48
2023-11-24,0x47d8a00baf21de75:0x52963a5addd52a99,London,28
2023-11-25,0x47d8a00baf21de75:0x52963a5addd52a99,London,60
2023-11-26,0x47d8a00baf21de75:0x52963a5addd52a99,London,24
2023-11-27,0x47d8a00baf21de75:0x52963a5addd52a99,London,33
2023-11-28,0x47d8a00baf21de75:0x52963a5addd52a99,London,47
2023-11-29,0x47d8a00baf21de75:0x52963a5addd52a99,London,22
2023-11-30,0x47d8a00baf21de75:0x52963a5addd52a99,London,0
2023-12-01,0x47d8a00baf21de75:0x52963a5addd52a99,London,11
2023-12-02,0x47d8a00baf21de75:0x52963a5addd52a99,London,23
2023-12-03,0x47d8a00baf21de75:0x52963a5addd52a99,London,31
2023-12-04,0x47d8a00baf21de75:0x52963a5addd52a99,London,43
2023-12-05,0x47d8a00baf21de75:0x52963a5addd52a99,London,23
2023-12-06,0x47d8a00baf21de75:0x52963a5addd52a99,London,21
2023-12-07,0x47d8a00baf21de75:0x52963a5addd52a99,London,0
2023-11-10,0x8640b8b4488d8501:0xca0d02def365053b,Houston,23
2023-11-11,0x8640b8b4488d8501:0xca0d02def365053b,Houston,39
2023-11-12,0x8640b8b4488d8501:0xca0d02def365053b,Houston,30
2023-11-13,0x8640b8b4488d8501:0xca0d02def365053b,Houston,26
2023-11-14,0x8640b8b4488d8501:0xca0d02def365053b,Houston,44
2023-11-15,0x8640b8b4488d8501:0xca0d02def365053b,Houston,61
2023-11-16,0x8640b8b4488d8501:0xca0d02def365053b,Houston,74
2023-11-17,0x8640b8b4488d8501:0xca0d02def365053b,Houston,55
2023-11-18,0x8640b8b4488d8501:0xca0d02def365053b,Houston,40
2023-11-19,0x8640b8b4488d8501:0xca0d02def365053b,Houston,40
2023-11-20,0x8640b8b4488d8501:0xca0d02def365053b,Houston,303
2023-11-21,0x8640b8b4488d8501:0xca0d02def365053b,Houston,225
2023-11-22,0x8640b8b4488d8501:0xca0d02def365053b,Houston,96
2023-11-23,0x8640b8b4488d8501:0xca0d02def365053b,Houston,52
2023-11-24,0x8640b8b4488d8501:0xca0d02def365053b,Houston,63
2023-11-25,0x8640b8b4488d8501:0xca0d02def365053b,Houston,41
2023-11-26,0x8640b8b4488d8501:0xca0d02def365053b,Houston,36
2023-11-27,0x8640b8b4488d8501:0xca0d02def365053b,Houston,14
2023-11-28,0x8640b8b4488d8501:0xca0d02def365053b,Houston,21
2023-11-29,0x8640b8b4488d8501:0xca0d02def365053b,Houston,0
2023-11-30,0x8640b8b4488d8501:0xca0d02def365053b,Houston,28
2023-12-01,0x8640b8b4488d8501:0xca0d02def365053b,Houston,37
2023-12-02,0x8640b8b4488d8501:0xca0d02def365053b,Houston,0
2023-12-03,0x8640b8b4488d8501:0xca0d02def365053b,Houston,10
2023-12-04,0x8640b8b4488d8501:0xca0d02def365053b,Houston,12
2023-12-05,0x8640b8b4488d8501:0xca0d02def365053b,Houston,15
2023-12-06,0x8640b8b4488d8501:0xca0d02def365053b,Houston,64
2023-12-07,0x8640b8b4488d8501:0xca0d02def365053b,Houston,0
2023-11-10,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,64
2023-11-11,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,57
2023-11-12,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,12
2023-11-13,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,19
2023-11-14,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,41
2023-11-15,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,55
2023-11-16,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,52
2023-11-17,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,22
2023-11-18,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,67
2023-11-19,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,25
2023-11-20,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,300
2023-11-21,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,187
2023-11-22,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,62
2023-11-23,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,64
2023-11-24,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,38
2023-11-25,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,32
2023-11-26,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,40
2023-11-27,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,32
2023-11-28,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,34
2023-11-29,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,0
2023-11-30,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,13
2023-12-01,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,13
2023-12-02,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,34
2023-12-03,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,22
2023-12-04,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,20
2023-12-05,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,31
2023-12-06,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,23
2023-12-07,0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,0
2023-11-10,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,162
2023-11-11,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,226
2023-11-12,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,196
2023-11-13,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,159
2023-11-14,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,151
2023-11-15,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,161
2023-11-16,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,133
2023-11-17,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,151
2023-11-18,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,208
2023-11-19,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,169
2023-11-20,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,829
2023-11-21,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,630
2023-11-22,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,295
2023-11-23,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,236
2023-11-24,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,192
2023-11-25,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,206
2023-11-26,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,201
2023-11-27,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,191
2023-11-28,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,140
2023-11-29,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,133
2023-11-30,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,111
2023-12-01,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,75
2023-12-02,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,108
2023-12-03,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,113
2023-12-04,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,121
2023-12-05,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,160
2023-12-06,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,118
2023-12-07,0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,0
2023-11-10,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,47
2023-11-11,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,15
2023-11-12,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-13,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-14,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,26
2023-11-15,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,31
2023-11-16,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,24
2023-11-17,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,38
2023-11-18,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,41
2023-11-19,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,13
2023-11-20,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,218
2023-11-21,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,194
2023-11-22,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,34
2023-11-23,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,52
2023-11-24,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,28
2023-11-25,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,18
2023-11-26,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,40
2023-11-27,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,27
2023-11-28,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,33
2023-11-29,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,10
2023-11-30,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,25
2023-12-01,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
2023-12-02,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,21
2023-12-03,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,11
2023-12-04,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
2023-12-05,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,26
2023-12-06,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,36
2023-12-07,0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,0
